averageDensity,averageTotalMS,averageChecks,averageChecksPerBoid,mapSize,leafCapacityOrCellSize,searchAlgo
1.454505,4.47297,102235.438,102.235428,650,75,UNIFORMGRID
1.39608741,12.4624786,327851.969,327.852051,650,150,UNIFORMGRID
1.39699972,28.175848,760524.938,760.5252,650,300,UNIFORMGRID
1.42314517,36.55636,999000.1,999,650,500,UNIFORMGRID
1.39450431,36.53213,999000.063,999,650,1000,UNIFORMGRID
1.32416248,8.37037849,2226.31738,2.22631669,650,1,QUADTREE
1.34532773,7.26404142,2721.35571,2.72135568,650,2,QUADTREE
1.3051337,5.9461627,3770.7124,3.77071238,650,4,QUADTREE
1.30849361,5.14286566,5854.216,5.854215,650,8,QUADTREE
1.34859371,4.59089375,11700.81,11.70081,650,16,QUADTREE
1.36679459,4.42186928,19996.2031,19.9962025,650,32,QUADTREE
1.43523467,4.707052,39922.91,39.9229279,650,64,QUADTREE
1.26229,5.401252,68881.9,68.88191,650,128,QUADTREE
1.42936647,9.821238,194765.6,194.765671,650,256,QUADTREE
1.41460383,11.9612141,253751.781,253.7518,650,512,QUADTREE
1.39762008,40.4444237,988049.938,988.0501,650,1024,QUADTREE
0.304278344,0.629110932,2378.276,2.37827635,700,2,UNIFORMGRID
1.55417073,0.9241173,5548.39551,5.5483923,700,5,UNIFORMGRID
1.36477339,0.97435075,8020.0083,8.020007,700,10,UNIFORMGRID
1.37334919,1.05120885,10120.4795,10.1204834,700,15,UNIFORMGRID
1.28377163,1.24432278,14843.94,14.84394,700,25,UNIFORMGRID
1.284057,2.23615217,42199.8477,42.1998444,700,50,UNIFORMGRID
1.23082876,3.81046319,86550.77,86.55076,700,75,UNIFORMGRID
1.196616,11.1348352,291042.531,291.042542,700,150,UNIFORMGRID
1.28154457,26.0385532,705155.5,705.155762,700,300,UNIFORMGRID
1.239377,36.6578331,999000.1,999,700,500,UNIFORMGRID
1.35430455,36.43626,999000.1,999,700,1000,UNIFORMGRID
1.25054431,8.371476,2161.989,2.16198921,700,1,QUADTREE
1.18775094,7.105093,2511.92627,2.51192665,700,2,QUADTREE
1.20773363,5.9303546,3596.45,3.59645152,700,4,QUADTREE
1.24544179,5.10351,5817.57471,5.817575,700,8,QUADTREE
1.19801581,4.58290434,11430.78,11.4307795,700,16,QUADTREE
1.24761117,4.34110975,19276.4668,19.2764664,700,32,QUADTREE
1.236432,4.79245853,43937.0742,43.93708,700,64,QUADTREE
1.19587111,5.40439463,68472.7656,68.4727859,700,128,QUADTREE
1.24417341,10.5830069,217151.313,217.151291,700,256,QUADTREE
1.22546875,11.797677,251440.875,251.440964,700,512,QUADTREE
1.315531,40.3860855,990277.438,990.2778,700,1024,QUADTREE
0.246510148,0.6490951,2024.28821,2.02428722,750,2,UNIFORMGRID
1.09518611,0.8555556,4961.58252,4.96158361,750,5,UNIFORMGRID
1.26502156,0.956753254,7621.93555,7.62193871,750,10,UNIFORMGRID
1.24844611,1.02139318,9568.226,9.568224,750,15,UNIFORMGRID
1.19137263,1.196831,13902.1494,13.9021511,750,25,UNIFORMGRID
1.12356067,2.05045462,37377.87,37.3778572,750,50,UNIFORMGRID
1.09159529,3.45578551,76823.09,76.82313,750,75,UNIFORMGRID
1.13345551,10.2211008,266141.25,266.141327,750,150,UNIFORMGRID
1.040231,25.2818489,688304.8,688.3046,750,300,UNIFORMGRID
1.14095008,36.3362656,999000.25,999,750,500,UNIFORMGRID
1.1412878,36.53493,1002633.56,1002.6333,750,1000,UNIFORMGRID
1.12192392,8.024726,1898.9928,1.89899325,750,1,QUADTREE
1.10517371,6.97555971,2325.44971,2.32545018,750,2,QUADTREE
1.0738951,5.78096056,3397.73267,3.39773369,750,4,QUADTREE
1.08625734,4.99811029,5596.29248,5.596294,750,8,QUADTREE
1.0663017,4.554219,10711.2236,10.7112265,750,16,QUADTREE
